detected,TP,FP,FN,sensitivity,PPV,DER,timing_mae_ms,fp_in_gap,fp_outside_span,fp_genuine,fp_in_span,fp_frac_in_gap,record,channel,group,gestation_weeks,ref_beats,units,fs,n_gaps,supplementary
839,776,63,0,1.0,0.9249106078665077,0.08118556701030928,7.774484536082475,63,0,0,63,1.0,ecgca776.edf,Thorax_1,thoracic,33.57142857142857,776,mV,1000.0,63,False
839,776,63,0,1.0,0.9249106078665077,0.08118556701030928,7.217783505154639,63,0,0,63,1.0,ecgca776.edf,Thorax_2,thoracic,33.57142857142857,776,mV,1000.0,63,False
839,776,63,0,1.0,0.9249106078665077,0.08118556701030928,8.21520618556701,63,0,0,63,1.0,ecgca776.edf,Abdomen_1,abdominal,33.57142857142857,776,uV,1000.0,63,False
843,776,67,0,1.0,0.9205219454329775,0.08634020618556701,8.431701030927835,63,0,4,67,0.9402985074626866,ecgca776.edf,Abdomen_2,abdominal,33.57142857142857,776,uV,1000.0,63,False
840,776,64,0,1.0,0.9238095238095239,0.08247422680412371,9.291237113402062,63,0,1,64,0.984375,ecgca776.edf,Abdomen_3,abdominal,33.57142857142857,776,uV,1000.0,63,False
875,776,99,0,1.0,0.8868571428571429,0.12757731958762886,9.746134020618557,69,0,30,99,0.696969696969697,ecgca776.edf,Abdomen_4,abdominal,33.57142857142857,776,uV,1000.0,63,False
484,451,33,0,1.0,0.9318181818181818,0.07317073170731707,11.623059866962306,33,0,0,33,1.0,ecgca811.edf,Thorax_1,thoracic,22.142857142857142,451,mV,1000.0,33,False
485,451,34,0,1.0,0.9298969072164949,0.07538802660753881,25.554323725055433,33,0,1,34,0.9705882352941176,ecgca811.edf,Thorax_2,thoracic,22.142857142857142,451,mV,1000.0,33,False
484,450,34,1,0.9977827050997783,0.9297520661157025,0.07760532150776053,6.6,33,0,1,34,0.9705882352941176,ecgca811.edf,Abdomen_1,abdominal,22.142857142857142,451,uV,1000.0,33,False
484,451,33,0,1.0,0.9318181818181818,0.07317073170731707,6.773835920177383,33,0,0,33,1.0,ecgca811.edf,Abdomen_2,abdominal,22.142857142857142,451,uV,1000.0,33,False
530,451,79,0,1.0,0.8509433962264151,0.17516629711751663,8.017738359201774,37,1,41,78,0.47435897435897434,ecgca811.edf,Abdomen_3,abdominal,22.142857142857142,451,uV,1000.0,33,False
1096,1026,70,4,0.996116504854369,0.9361313868613139,0.07184466019417475,7.132553606237817,68,1,1,69,0.9855072463768116,ecgca816.edf,Thorax_1,thoracic,29.285714285714285,1030,mV,1000.0,68,False
1093,1024,69,6,0.9941747572815534,0.9368709972552608,0.07281553398058252,8.455078125,68,1,0,68,1.0,ecgca816.edf,Thorax_2,thoracic,29.285714285714285,1030,mV,1000.0,68,False
1097,1023,74,7,0.9932038834951457,0.9325432999088423,0.07864077669902912,8.173020527859238,71,1,2,73,0.9726027397260274,ecgca816.edf,Abdomen_1,abdominal,29.285714285714285,1030,uV,1000.0,68,False
237,225,12,805,0.21844660194174756,0.9493670886075949,0.7932038834951456,8.16,12,0,0,12,1.0,ecgca816.edf,Abdomen_2,abdominal,29.285714285714285,1030,uV,1000.0,68,False
1096,1024,72,6,0.9941747572815534,0.9343065693430657,0.07572815533980583,9.1728515625,71,1,0,71,1.0,ecgca816.edf,Abdomen_3,abdominal,29.285714285714285,1030,uV,1000.0,68,False
239,225,14,805,0.21844660194174756,0.9414225941422594,0.7951456310679612,8.95111111111111,12,0,2,14,0.8571428571428571,ecgca816.edf,Abdomen_4,abdominal,29.285714285714285,1030,uV,1000.0,68,False
414,389,25,0,1.0,0.9396135265700483,0.06426735218508997,9.097686375321336,25,0,0,25,1.0,ecgca826.edf,Thorax_1,thoracic,24.285714285714285,389,mV,1000.0,25,False
414,389,25,0,1.0,0.9396135265700483,0.06426735218508997,7.32904884318766,25,0,0,25,1.0,ecgca826.edf,Thorax_2,thoracic,24.285714285714285,389,mV,1000.0,25,False
415,389,26,0,1.0,0.9373493975903614,0.06683804627249357,10.966580976863753,25,1,0,25,1.0,ecgca826.edf,Abdomen_1,abdominal,24.285714285714285,389,uV,1000.0,25,False
415,389,26,0,1.0,0.9373493975903614,0.06683804627249357,11.570694087403599,25,1,0,25,1.0,ecgca826.edf,Abdomen_2,abdominal,24.285714285714285,389,uV,1000.0,25,False
416,389,27,0,1.0,0.9350961538461539,0.06940874035989718,10.632390745501285,25,1,1,26,0.9615384615384616,ecgca826.edf,Abdomen_3,abdominal,24.285714285714285,389,uV,1000.0,25,False
491,451,40,0,1.0,0.9185336048879837,0.08869179600886919,5.92239467849224,39,1,0,39,1.0,ecgca840.edf,Thorax_1,thoracic,39.0,451,mV,1000.0,39,False
491,451,40,0,1.0,0.9185336048879837,0.08869179600886919,28.121951219512194,39,1,0,39,1.0,ecgca840.edf,Thorax_2,thoracic,39.0,451,mV,1000.0,39,False
491,451,40,0,1.0,0.9185336048879837,0.08869179600886919,9.401330376940132,39,1,0,39,1.0,ecgca840.edf,Abdomen_1,abdominal,39.0,451,uV,1000.0,39,False
491,451,40,0,1.0,0.9185336048879837,0.08869179600886919,9.86031042128603,39,1,0,39,1.0,ecgca840.edf,Abdomen_2,abdominal,39.0,451,uV,1000.0,39,False
492,451,41,0,1.0,0.9166666666666666,0.09090909090909091,9.800443458980045,39,1,1,40,0.975,ecgca840.edf,Abdomen_3,abdominal,39.0,451,uV,1000.0,39,False
491,451,40,0,1.0,0.9185336048879837,0.08869179600886919,11.297117516629712,39,1,0,39,1.0,ecgca840.edf,Abdomen_4,abdominal,39.0,451,uV,1000.0,39,False
563,522,41,0,1.0,0.9271758436944938,0.07854406130268199,6.680076628352491,39,1,1,40,0.975,ecgca848.edf,Thorax_1,thoracic,23.857142857142858,522,mV,1000.0,39,False
562,522,40,0,1.0,0.9288256227758007,0.07662835249042145,7.645593869731801,39,1,0,39,1.0,ecgca848.edf,Thorax_2,thoracic,23.857142857142858,522,mV,1000.0,39,False
289,271,18,251,0.5191570881226054,0.9377162629757786,0.5153256704980843,9.361623616236162,15,1,2,17,0.8823529411764706,ecgca848.edf,Abdomen_1,abdominal,23.857142857142858,522,uV,1000.0,39,False
290,271,19,251,0.5191570881226054,0.9344827586206896,0.5172413793103449,9.350553505535055,15,1,3,18,0.8333333333333334,ecgca848.edf,Abdomen_2,abdominal,23.857142857142858,522,uV,1000.0,39,False
36,23,13,499,0.044061302681992334,0.6388888888888888,0.9808429118773946,17.82608695652174,2,1,10,12,0.16666666666666666,ecgca848.edf,Abdomen_3,abdominal,23.857142857142858,522,uV,1000.0,39,False
16,10,6,512,0.019157088122605363,0.625,0.9923371647509579,14.5,0,1,5,5,0.0,ecgca848.edf,Abdomen_4,abdominal,23.857142857142858,522,uV,1000.0,39,False
1033,963,70,4,0.9958634953464323,0.9322362052274927,0.07652533609100311,6.006230529595015,70,0,0,70,1.0,ecgca864.edf,Thorax_1,thoracic,30.714285714285715,967,mV,1000.0,70,False
1035,965,70,2,0.9979317476732161,0.9323671497584541,0.07445708376421924,5.470466321243523,70,0,0,70,1.0,ecgca864.edf,Thorax_2,thoracic,30.714285714285715,967,mV,1000.0,70,False
1041,959,82,8,0.9917269906928645,0.9212295869356388,0.09307135470527404,8.416058394160585,74,0,8,82,0.9024390243902439,ecgca864.edf,Abdomen_1,abdominal,30.714285714285715,967,uV,1000.0,70,False
457,427,30,540,0.4415718717683557,0.9343544857768052,0.5894519131334023,8.508196721311476,27,0,3,30,0.9,ecgca864.edf,Abdomen_2,abdominal,30.714285714285715,967,uV,1000.0,70,False
1038,962,76,5,0.9948293691830403,0.9267822736030829,0.08376421923474664,9.807692307692308,72,0,4,76,0.9473684210526315,ecgca864.edf,Abdomen_3,abdominal,30.714285714285715,967,uV,1000.0,70,False
459,429,30,538,0.4436401240951396,0.934640522875817,0.5873836608066184,10.102564102564102,26,0,4,30,0.8666666666666667,ecgca864.edf,Abdomen_4,abdominal,30.714285714285715,967,uV,1000.0,70,False
395,372,23,0,1.0,0.9417721518987342,0.06182795698924731,5.341397849462366,22,1,0,22,1.0,ecgca868.edf,Thorax_1,thoracic,32.42857142857143,372,mV,1000.0,22,False
395,372,23,0,1.0,0.9417721518987342,0.06182795698924731,11.397849462365592,22,1,0,22,1.0,ecgca868.edf,Thorax_2,thoracic,32.42857142857143,372,mV,1000.0,22,False
394,372,22,0,1.0,0.9441624365482234,0.05913978494623656,7.717741935483871,22,0,0,22,1.0,ecgca868.edf,Abdomen_1,abdominal,32.42857142857143,372,uV,1000.0,22,False
396,372,24,0,1.0,0.9393939393939394,0.06451612903225806,7.344086021505376,22,1,1,23,0.9565217391304348,ecgca868.edf,Abdomen_2,abdominal,32.42857142857143,372,uV,1000.0,22,False
396,371,25,1,0.9973118279569892,0.9368686868686869,0.06989247311827956,9.40700808625337,23,0,2,25,0.92,ecgca868.edf,Abdomen_3,abdominal,32.42857142857143,372,uV,1000.0,22,False
374,351,23,21,0.9435483870967742,0.9385026737967914,0.11827956989247312,9.66951566951567,20,0,3,23,0.8695652173913043,ecgca868.edf,Abdomen_4,abdominal,32.42857142857143,372,uV,1000.0,22,False
361,332,29,0,1.0,0.9196675900277008,0.08734939759036145,26.25602409638554,27,1,1,28,0.9642857142857143,ecgca876.edf,Thorax_1,thoracic,22.142857142857142,332,mV,1000.0,26,False
359,331,28,1,0.9969879518072289,0.9220055710306406,0.08734939759036145,22.746223564954683,27,1,0,27,1.0,ecgca876.edf,Thorax_2,thoracic,22.142857142857142,332,mV,1000.0,26,False
361,331,30,1,0.9969879518072289,0.9168975069252078,0.09337349397590361,6.803625377643504,26,2,2,28,0.9285714285714286,ecgca876.edf,Abdomen_1,abdominal,22.142857142857142,332,uV,1000.0,26,False
324,297,27,35,0.8945783132530121,0.9166666666666666,0.18674698795180722,7.511784511784512,22,2,3,25,0.88,ecgca876.edf,Abdomen_2,abdominal,22.142857142857142,332,uV,1000.0,26,False
361,331,30,1,0.9969879518072289,0.9168975069252078,0.09337349397590361,7.876132930513596,26,2,2,28,0.9285714285714286,ecgca876.edf,Abdomen_3,abdominal,22.142857142857142,332,uV,1000.0,26,False
645,592,53,0,1.0,0.9178294573643411,0.08952702702702703,8.66722972972973,52,1,0,52,1.0,ecgca880.edf,Thorax_1,thoracic,25.0,592,mV,1000.0,52,False
