# pcg_capture max4466 pin=39 fs=500 att=11db
# captured 20260905_134318 port=COM8 tag=chest_air_batt_p74
t_us,adc
1328000,1913
1330001,1911
1332000,1916
1334000,1915
1336000,1915
1338001,1911
1340001,1913
1342000,1911
1344001,1915
1346000,1915
1348001,1913
1350000,1913
1352001,1915
1354001,1910
1356001,1914
1358001,1913
1360001,1914
1362001,1915
1364001,1915
1366001,1916
1368001,1915
1370000,1915
1372001,1911
1374000,1910
1376001,1911
1378000,1914
1380001,1915
1382001,1914
1384001,1914
1386001,1914
1388001,1918
1390000,1917
1392001,1916
1394001,1913
1396001,1914
1398001,1913
1400000,1914
1402001,1913
1404000,1917
1406000,1915
1408000,1917
1410000,1915
1412001,1913
1414001,1913
1416001,1917
1418001,1915
1420001,1909
1422000,1915
1424000,1917
1426001,1914
1428001,1915
1430001,1915
1432001,1915
1434000,1913
1436001,1911
1438001,1913
1440001,1914
1442001,1914
1444001,1915
1446001,1920
1448001,1917
1450001,1913
1452001,1915
1454000,1914
1456000,1904
1458001,1913
1460001,1914
1462001,1915
1464001,1915
1466001,1917
1468000,1918
1470000,1917
1472001,1915
1474001,1913
1476001,1937
1478000,1910
1480001,1917
1482001,1913
1484000,1915
1486000,1917
1488000,1915
1490000,1911
1492000,1914
1494000,1911
1496001,1915
1498001,1914
1500001,1911
1502000,1913
1504001,1917
1506001,1915
1508001,1918
1510001,1914
1512000,1915
1514000,1911
1516001,1910
1518001,1907
1520001,1915
1522001,1918
1524001,1919
1526001,1917
1528000,1917
1530001,1914
1532001,1911
1534001,1911
1536001,1911
1538000,1909
1540000,1909
1542000,1915
1544000,1914
1546001,1915
1548000,1911
1550001,1913
1552000,1916
1554000,1913
1556000,1915
1558001,1914
1560001,1913
1562000,1915
1564001,1911
1566000,1915
1568000,1917
1570001,1914
1572001,1914
1574001,1913
1576001,1911
1578001,1917
1580001,1913
1582001,1915
1584001,1915
1586000,1910
1588000,1916
1590000,1914
1592000,1914
1594001,1915
1596001,1913
1598001,1913
1600001,1914
1602001,1913
1604000,1914
1606000,1904
1608001,1914
1610001,1914
1612001,1904
1614001,1914
1616001,1914
1618001,1913
1620001,1915
1622000,1914
1624001,1917
1626000,1913
1628001,1918
1630001,1915
1632001,1915
1634001,1916
1636001,1911
1638001,1911
1640001,1911
1642000,1911
1644001,1909
1646001,1913
1648001,1914
1650001,1915
1652001,1913
1654000,1901
1656001,1909
1658001,1911
1660000,1913
1662000,1910
1664000,1915
1666001,1910
1668001,1911
1670000,1911
1672001,1909
1674000,1917
1676000,1901
1678000,1911
1680000,1918
1682001,1913
1684000,1911
1686001,1911
1688000,1913
1690001,1914
1692000,1911
1694001,1913
1696001,1913
1698000,1915
1700001,1911
1702001,1911
1704000,1916
1706001,1911
1708001,1914
1710001,1910
1712001,1910
1714000,1911
1716000,1881
1718000,1915
1720000,1911
1722000,1915
1724000,1913
1726001,1912
1728001,1919
1730000,1911
1732000,1911
1734001,1914
1736000,1930
1738000,1915
1740001,1911
1742000,1918
1744000,1913
1746000,1913
1748001,1911
1750000,1910
1752001,1910
1754001,1911
1756001,1913
1758001,1914
1760000,1915
1762000,1913
1764001,1917
1766001,1918
1768001,1914
1770001,1911
1772000,1911
1774000,1914
1776001,1913
1778001,1915
1780001,1913
1782000,1914
1784000,1917
1786001,1908
1788000,1913
1790001,1909
1792001,1910
1794001,1915
1796001,1913
1798001,1910
1800001,1913
1802001,1913
1804001,1914
1806000,1916
1808000,1914
1810001,1913
1812001,1913
1814001,1917
1816001,1911
1818000,1917
1820001,1918
1822001,1914
1824001,1914
1826001,1915
1828000,1913
1830001,1913
1832001,1904
1834001,1915
1836001,1909
1838001,1914
1840001,1910
1842001,1917
1844000,1913
1846001,1913
1848001,1914
1850001,1915
1852001,1913
1854000,1911
1856001,1911
1858001,1916
1860000,1913
1862001,1915
1864001,1911
1866001,1915
1868001,1876
1870001,1913
1872000,1913
1874000,1913
1876000,1914
1878000,1916
1880001,1913
1882001,1915
1884001,1915
1886001,1911
1888000,1911
1890001,1913
1892001,1913
1894001,1917
1896001,1916
1898000,1913
1900001,1913
1902001,1916
1904001,1915
1906000,1914
1908000,1909
1910001,1911
1912001,1911
1914001,1912
1916001,1911
1918001,1910
1920001,1913
1922001,1914
1924001,1921
1926001,1914
1928001,1917
1930001,1913
1932001,1911
1934001,1911
1936001,1935
1938000,1913
1940001,1914
1942001,1913
1944000,1914
1946001,1914
